approved,submit_date,approved_date,last_update,artist,beatmap_id,beatmapset_id,bpm,creator,creator_id,difficultyrating,diff_aim,diff_speed,diff_size,diff_overall,diff_approach,diff_drain,hit_length,source,genre_id,language_id,title,total_length,version,file_md5,mode,tags,favourite_count,rating,playcount,passcount,count_normal,count_slider,count_spinner,max_combo,storyboard,video,download_unavailable,audio_unavailable
1,2007-10-11 01:08:04,2007-10-11 01:08:04,2007-10-11 01:08:04,Beautiful Day,171,74,116,FFFanatic,677,3.03713,1.43674,1.52249,4,4,4,4,145,,2,6,Bride in Dream,148,Hard,906b96549a6cd97ce73f3396ddccddee,0,,56,6.49607,128258,30582,238,78,3,485,0,0,0,0
1,2007-10-11 06:55:50,2007-10-11 06:55:50,2007-10-11 06:55:50,L'Arc~en~Ciel,275,75,144,Hitoshirenu Shourai,602,2.28703,1.27525,0.864471,5,5,5,5,222,,3,3,READY STEADY GO,224,Normal,8cc102956b7ea56aaebbeb7c3d907dad,0,fma fullmetal alchemist,201,8.66476,80266,29593,199,71,3,391,0,0,0,0
1,2007-10-11 17:39:44,2007-10-11 17:39:44,2007-10-11 17:39:44,Sakamoto Maaya,172,76,109.02,KiraCatgirl,857,2.45515,1.3219,1.0299,5,5,5,5,157,,3,3,Kazemachi Jet,158,Normal,93d6a094fb3553d3daf1588b3bd05a6c,0,,13,8.23077,36001,7807,162,63,2,329,0,0,0,0
1,2007-10-11 18:11:13,2007-10-11 18:11:13,2007-10-11 18:11:13,Hoshimura Mai,174,77,172,Hitoshirenu Shourai,602,2.76784,1.56878,0.976433,6,6,6,5,245,,3,3,Sakura Biyori,245,Normal,80aa1226e3e34440b65b40b9d30ebbec,0,,61,8.25665,45629,10290,168,119,5,516,0,0,0,0
1,2007-10-11 18:11:13,2007-10-11 18:11:13,2007-10-11 18:11:13,Hoshimura Mai,175,77,86,Hitoshirenu Shourai,602,1.84973,1.07883,0.513173,5,4,4,3,251,,3,3,Sakura Biyori,251,Easy,3a447895b22fc1444457542b76f75ba1,0,,61,8.25665,47258,22822,111,82,2,326,0,0,0,0
1,2007-10-12 18:01:19,2007-10-12 18:01:19,2007-10-12 18:01:19,Sambomaster,177,78,141.99,ZZT the Fifth,108,3.22442,1.7571,1.31349,5,5,5,7,154,,4,3,Sekai wa Sore wo Ai to Yobunda ze,213,Normal,1445321a4332b9546b98eb26a6ff1946,0,authentic ouendan cover this is what the world calls love,109,8.84751,88666,22084,231,58,6,454,0,0,0,0
1,2007-10-13 08:31:19,2007-10-13 08:31:19,2007-10-13 08:31:19,HALCALI,187,79,128.97,Hitoshirenu Shourai,602,2.68754,1.42053,1.17262,5,8,8,6,209,,5,3,"Lights, Camera. Action!",210,Hard,67b7cd7b6fc934745c5d4ea1fcceb38f,0,,33,8.7541,37969,9707,208,137,1,539,0,0,0,0
1,2007-10-13 14:56:47,2007-10-13 14:56:47,2007-10-13 14:56:47,Ai Otsuka,180,80,170,Echo,431,1.94507,1.11325,0.644039,4,2,2,1,55,,5,3,Sakuranbo,76,Easy,18a19cc703c03f9aa6f8589492262483,0,,92,8.19392,76601,45910,46,18,1,137,0,0,0,0
1,2007-10-13 14:56:47,2007-10-13 14:56:47,2007-10-13 14:56:47,Ai Otsuka,181,80,170,Echo,431,2.2282,1.22985,0.872646,5,6,6,7,52,,5,3,Sakuranbo,74,Normal,ae6ab21b778124de0e84a32a09b85cdf,0,,92,8.19392,73179,24416,48,28,2,175,0,0,0,0
1,2007-10-13 14:56:47,2007-10-13 14:56:47,2007-10-13 14:56:47,Ai Otsuka,182,80,170,Echo,431,3.41365,1.79607,1.50266,6,8,8,7,61,,5,3,Sakuranbo,74,Hard,e86710cf71575bb0b1cd91392603069d,0,,92,8.19392,81069,18681,83,29,4,238,0,0,0,0
